"location id","location name",description,lat,lon,icon_color,"icon name"
31464839,Hydrant,Hydrant,34.88594644,-90.00244586,red,Hydrant
31464840,Hydrant,Hydrant,34.88272644,-90.00840586,red,Hydrant
31464841,Hydrant,Hydrant,34.90015645,-90.00325586,red,Hydrant
31464842,Hydrant,Hydrant,34.90433645,-90.00758586,red,Hydrant
31464843,Hydrant,Hydrant,34.90427645,-90.00537586,red,Hydrant
31464844,Hydrant,Hydrant,34.90424645,-90.00342586,red,Hydrant
31464845,Hydrant,Hydrant,34.90424645,-89.99852586,red,Hydrant
31464846,Hydrant,Hydrant,34.90033645,-89.99778586,red,Hydrant
31464847,Hydrant,Hydrant,34.89406644,-89.99656585,red,Hydrant
31464848,Hydrant,Hydrant,34.89531373,-89.99602482,red,Hydrant
31464849,Hydrant,Hydrant,34.88211644,-90.00153586,red,Hydrant
31464850,Hydrant,Hydrant,34.88348644,-89.99543585,red,Hydrant
31464851,Hydrant,Hydrant,34.88221644,-89.97389585,red,Hydrant
31464852,Hydrant,Hydrant,34.88792644,-89.99040585,red,Hydrant
31464853,Hydrant,Hydrant,34.87497644,-89.93724584,red,Hydrant
31464854,Hydrant,Hydrant,34.86774644,-89.93707584,red,Hydrant
31464855,Hydrant,Hydrant,34.85267644,-89.97079585,red,Hydrant
31464856,Hydrant,Hydrant,34.85414644,-89.97055585,red,Hydrant
31464857,Hydrant,Hydrant,34.85412644,-89.96951585,red,Hydrant
31464858,Hydrant,Hydrant,34.85294644,-89.96952584,red,Hydrant
31464859,Hydrant,Hydrant,34.85368644,-89.97206585,red,Hydrant
31464860,Hydrant,Hydrant,34.86033644,-89.98092585,red,Hydrant
31464861,Hydrant,Hydrant,34.86031644,-89.98249585,red,Hydrant
31464862,Hydrant,Hydrant,34.85800644,-89.99684585,red,Hydrant
31464863,Hydrant,Hydrant,34.85526132,-89.99752404,red,Hydrant
31464864,Hydrant,Hydrant,34.85065644,-89.99817585,red,Hydrant
31464865,Hydrant,Hydrant,34.84939643,-89.99827585,red,Hydrant
31464866,Hydrant,Hydrant,34.84786643,-89.99843585,red,Hydrant
31464867,Hydrant,Hydrant,34.84444643,-89.99648585,red,Hydrant
31464868,Hydrant,Hydrant,34.84170643,-89.99757585,red,Hydrant
31464869,Hydrant,Hydrant,34.83952643,-89.99686585,red,Hydrant
31464870,Hydrant,Hydrant,34.83501643,-89.99539585,red,Hydrant
31464871,Hydrant,Hydrant,34.84555643,-89.99634585,red,Hydrant
31464872,Hydrant,Hydrant,34.86447644,-89.99517585,red,Hydrant
31464873,Hydrant,Hydrant,34.88527544,-89.98541585,red,Hydrant
31464874,Hydrant,Hydrant,34.88451144,-89.98149585,red,Hydrant
31464875,Hydrant,Hydrant,34.85078644,-89.97660585,red,Hydrant
31464876,Hydrant,Hydrant,34.85183644,-89.97635585,red,Hydrant
31464877,Hydrant,Hydrant,34.85729644,-89.97744585,red,Hydrant
31464878,Hydrant,Hydrant,34.85916844,-89.97312585,red,Hydrant
31464879,Hydrant,Hydrant,34.84128643,-89.98159585,red,Hydrant
31464880,Hydrant,Hydrant,34.83842643,-89.98328585,red,Hydrant
31464881,Hydrant,Hydrant,34.83678643,-89.98358585,red,Hydrant
31464882,Hydrant,Hydrant,34.83550643,-89.98400585,red,Hydrant
31464883,Hydrant,Hydrant,34.83417643,-89.98494585,red,Hydrant
31464884,Hydrant,Hydrant,34.83354643,-89.99436585,red,Hydrant
31464885,Hydrant,Hydrant,34.83921643,-89.99513585,red,Hydrant
31464886,Hydrant,Hydrant,34.83820643,-89.99508585,red,Hydrant
31464887,Hydrant,Hydrant,34.83895643,-89.99348585,red,Hydrant
31464888,Hydrant,Hydrant,34.83553643,-89.98815585,red,Hydrant
31464889,Hydrant,Hydrant,34.84113643,-89.97208585,red,Hydrant
31464890,Hydrant,Hydrant,34.84671644,-89.96467584,red,Hydrant
31464891,Hydrant,Hydrant,34.83167643,-89.96507584,red,Hydrant
31464892,Hydrant,Hydrant,34.83002643,-89.97118584,red,Hydrant
31464893,Hydrant,Hydrant,34.82544643,-89.97017584,red,Hydrant
31464894,Hydrant,Hydrant,34.81645643,-89.96911584,red,Hydrant
31464895,Hydrant,Hydrant,34.81647643,-89.96844584,red,Hydrant
31464896,Hydrant,Hydrant,34.82179643,-89.96391584,red,Hydrant
31464897,Hydrant,Hydrant,34.81993643,-89.96862584,red,Hydrant
31464898,Hydrant,Hydrant,34.81972643,-89.97176584,red,Hydrant
31464899,Hydrant,Hydrant,34.81731643,-89.97219584,red,Hydrant
31464900,Hydrant,Hydrant,34.81650643,-89.96383584,red,Hydrant
31464901,Hydrant,Hydrant,34.81126643,-89.97010584,red,Hydrant
31464902,Hydrant,Hydrant,34.81279643,-89.97071584,red,Hydrant
31464903,Hydrant,Hydrant,34.82884643,-89.99489585,red,Hydrant
31464904,Hydrant,Hydrant,34.82776643,-89.99468585,red,Hydrant
31464905,Hydrant,Hydrant,34.82778643,-89.99642585,red,Hydrant
31464906,Hydrant,Hydrant,34.82772643,-89.99808585,red,Hydrant
31464907,Hydrant,Hydrant,34.82790871,-90.00001193,red,Hydrant
31464908,Hydrant,Hydrant,34.82937053,-90.00135371,red,Hydrant
31464909,Hydrant,Hydrant,34.83111597,-90.00325102,red,Hydrant
31464910,Hydrant,Hydrant,34.83242643,-90.00468585,red,Hydrant
31464911,Hydrant,Hydrant,34.82609643,-89.99951585,red,Hydrant
31464912,Hydrant,Hydrant,34.82607643,-89.99824585,red,Hydrant
31464913,Hydrant,Hydrant,34.82524643,-89.99651585,red,Hydrant
31464914,Hydrant,Hydrant,34.82652643,-89.99485585,red,Hydrant
31464915,Hydrant,Hydrant,34.82429643,-89.99543585,red,Hydrant
31464916,Hydrant,Hydrant,34.82529643,-89.99485585,red,Hydrant
31464917,Hydrant,Hydrant,34.82409643,-89.99469585,red,Hydrant
31464918,Hydrant,Hydrant,34.82351643,-89.99555585,red,Hydrant
