Address,City,Total Number of Alerts,Medical,Fire,No Emergency,Public Service,Hazardous Situation,Uncategorized,Law Enforcement Support
"3370 GREENWAY DR","HORN LAKE",12,12,0,0,0,0,0,0
"1615 COMMERCE PKWY","HORN LAKE",12,12,0,0,0,0,0,0
"6530 WALNUT GROVE RD","HORN LAKE",11,11,0,0,0,0,0,0
"2520 HILLCREST CIR","HORN LAKE",11,11,0,0,0,0,0,0
"5616 CRESTWOOD DR","HORN LAKE",11,10,1,0,0,0,0,0
"3550 SHADOW OAKS PKWY","HORN LAKE",9,9,0,0,0,0,0,0
"GOODMAN RD W & HWY 51 N","HORN LAKE",9,8,1,0,0,0,0,0
"6340 CORNWALL RD","HORN LAKE",8,7,0,1,0,0,0,0
"5633 TULANE RD N","HORN LAKE",8,8,0,0,0,0,0,0
"5811 DOVER DR","HORN LAKE",7,7,0,0,0,0,0,0
"988 GOODMAN RD W","HORN LAKE",7,6,0,1,0,0,0,0
"7019 FOXHALL DR","HORN LAKE",7,7,0,0,0,0,0,0
"6036 KINGSVIEW DR","HORN LAKE",7,7,0,0,0,0,0,0
"4285 SHADOW RIDGE DR","HORN LAKE",7,7,0,0,0,0,0,0
"3660 BUCKINGHAM CV E","HORN LAKE",7,7,0,0,0,0,0,0
"4560 GOODMAN RD W","HORN LAKE",6,6,0,0,0,0,0,0
"GOODMAN RD W & MALLARD CREEK DR","HORN LAKE",6,6,0,0,0,0,0,0
"7197 MALLARD CREEK DR","HORN LAKE",6,5,0,1,0,0,0,0
"1400 AUDUBON POINT DR","HORN LAKE",6,6,0,0,0,0,0,0
"6265 SOUTHBRIDGE CIR","HORN LAKE",6,6,0,0,0,0,0,0
"7131 HAMPTON DR","HORN LAKE",6,6,0,0,0,0,0,0
"3101 GOODMAN RD W","HORN LAKE",6,5,1,0,0,0,0,0
"6555 BIRCHFIELD CIR","HORN LAKE",6,6,0,0,0,0,0,0
"3040 GOODMAN RD W","HORN LAKE",5,5,0,0,0,0,0,0
"1000 SUTTON PLACE DR","HORN LAKE",5,5,0,0,0,0,0,0
"5424 RIDGETOP DR","HORN LAKE",5,5,0,0,0,0,0,0
"GOODMAN RD W & HURT RD","HORN LAKE",5,5,0,0,0,0,0,0
"7260 INTERSTATE BLVD","HORN LAKE",5,4,1,0,0,0,0,0
"4651 ALDEN LAKE DR E","HORN LAKE",5,5,0,0,0,0,0,0
"701 SOUTHWEST DR","HORN LAKE",5,2,1,1,1,0,0,0
"7101 TULANE RD N","HORN LAKE",5,4,1,0,0,0,0,0
"6800 TULANE RD N","HORN LAKE",5,4,1,0,0,0,0,0
"GOODMAN RD W & INTERSTATE BLVD","HORN LAKE",5,5,0,0,0,0,0,0
"3353 COUNTRYSIDE CIR","HORN LAKE",5,5,0,0,0,0,0,0
"5508 GOODMAN RD W","HORN LAKE",5,5,0,0,0,0,0,0
"6440 GREENBRIAR DR","HORN LAKE",5,5,0,0,0,0,0,0
"2655 VALLEYBROOK RD","HORN LAKE",5,5,0,0,0,0,0,0
"3416 FAIR MEADOW DR","HORN LAKE",5,5,0,0,0,0,0,0
"6520 YORKSHIRE RD","HORN LAKE",5,5,0,0,0,0,0,0
"7095 TULANE RD N","HORN LAKE",5,3,2,0,0,0,0,0
"3346 SHADOW OAKS PKWY","HORN LAKE",5,5,0,0,0,0,0,0
"7039 FOXHALL DR","HORN LAKE",5,5,0,0,0,0,0,0
"3407 GOODMAN RD W","HORN LAKE",4,3,0,0,0,1,0,0
"3625 SHADOW OAKS PKWY","HORN LAKE",4,4,0,0,0,0,0,0
"2735 ASHWOOD CV","HORN LAKE",4,4,0,0,0,0,0,0
"3102 GOODMAN RD W","HORN LAKE",4,4,0,0,0,0,0,0
"2589 WAVERLY DR","HORN LAKE",4,4,0,0,0,0,0,0
"3025 NORMANDY DR","HORN LAKE",4,3,0,1,0,0,0,0
"7318 GEORGE LN","HORN LAKE",4,4,0,0,0,0,0,0
"7136 HWY 301 N","HORN LAKE",4,3,1,0,0,0,0,0
"6851 INTERSTATE BLVD","HORN LAKE",4,3,1,0,0,0,0,0
"7385 ANGEL DR","HORN LAKE",4,4,0,0,0,0,0,0
"2745 ASHWOOD CV","HORN LAKE",4,4,0,0,0,0,0,0
"3340 LAUREL DR","HORN LAKE",4,4,0,0,0,0,0,0
"3840 CARROLL DR","HORN LAKE",4,4,0,0,0,0,0,0
"5980 HURT RD","HORN LAKE",4,3,0,1,0,0,0,0
"6325 YORKSHIRE CV","HORN LAKE",4,4,0,0,0,0,0,0
"7100 TULANE RD N","HORN LAKE",4,1,3,0,0,0,0,0
"3971 GOODMAN RD W","HORN LAKE",4,4,0,0,0,0,0,0
"GOODMAN RD W & HORN LAKE RD N","HORN LAKE",4,3,1,0,0,0,0,0
"1634 GOODMAN RD W","HORN LAKE",4,0,1,3,0,0,0,0
"6525 WESTBURY AVE","HORN LAKE",4,4,0,0,0,0,0,0
"720 GOODMAN RD W","HORN LAKE",4,3,0,1,0,0,0,0
"1512 GOODMAN RD W","HORN LAKE",4,3,0,1,0,0,0,0
"GOODMAN RD W & DUNBARTON DR","HORN LAKE",4,4,0,0,0,0,0,0
"601 EXPRESSWAY DR","HORN LAKE",4,3,0,1,0,0,0,0
"5788 DANNY CV","HORN LAKE",4,4,0,0,0,0,0,0
"7256 INTERSTATE BLVD","HORN LAKE",4,4,0,0,0,0,0,0
"6545 WESTBURY AVE","HORN LAKE",4,4,0,0,0,0,0,0
"3031 GOODMAN RD W","HORN LAKE",4,1,2,1,0,0,0,0
"708 DESOTO CV","HORN LAKE",3,0,2,1,0,0,0,0
"3435 WOODBINE CV","HORN LAKE",3,3,0,0,0,0,0,0
"3344 SHADOW OAKS PKWY","HORN LAKE",3,3,0,0,0,0,0,0
"7438 CLIFFWOOD DR","HORN LAKE",3,3,0,0,0,0,0,0
"7480 HWY 161","WALLS",3,3,0,0,0,0,0,0
"5766 MATTHEW DR","HORN LAKE",3,3,0,0,0,0,0,0
"1820 THOMAS ST","HORN LAKE",3,3,0,0,0,0,0,0
"1581 CROSSING DR","HORN LAKE",3,3,0,0,0,0,0,0
"6550 INTERSTATE BLVD","HORN LAKE",3,3,0,0,0,0,0,0
"4911 APPLE CREEK DR","HORN LAKE",3,3,0,0,0,0,0,0
"6125 HURT RD","HORN LAKE",3,2,0,1,0,0,0,0
"706 DESOTO CV","HORN LAKE",3,3,0,0,0,0,0,0
"5291 ABBEY LN","HORN LAKE",3,3,0,0,0,0,0,0
"TULANE RD N & NAIL RD W","HORN LAKE",3,2,1,0,0,0,0,0
"3450 MAYFAIR DR","HORN LAKE",3,3,0,0,0,0,0,0
"1962 CHURCH RD W","HORN LAKE",3,3,0,0,0,0,0,0
"5827 LAURIE DR","HORN LAKE",3,3,0,0,0,0,0,0
"3888 UNION AVE","HORN LAKE",3,3,0,0,0,0,0,0
"5566 CHURCH RD W","HORN LAKE",3,3,0,0,0,0,0,0
"6829 KENTBROOK DR","HORN LAKE",3,3,0,0,0,0,0,0
"6390 FOREST GLEN DR","HORN LAKE",3,3,0,0,0,0,0,0
"3926 GOODMAN RD W","HORN LAKE",3,3,0,0,0,0,0,0
"6140 FOREST GATE RD","HORN LAKE",3,2,1,0,0,0,0,0
"4425 MCSWAIN DR","HORN LAKE",3,3,0,0,0,0,0,0
"2972 CHURCHWELL DR","HORN LAKE",3,3,0,0,0,0,0,0
"2885 GOODMAN RD W","HORN LAKE",3,2,1,0,0,0,0,0
"1625 SOUTHERN VILLA DR","HORN LAKE",3,3,0,0,0,0,0,0
"4331 EDMONTON ST","HORN LAKE",3,2,0,0,1,0,0,0
"6702 ALLEN DR","HORN LAKE",3,3,0,0,0,0,0,0
"4191 CARROLL DR W","HORN LAKE",3,3,0,0,0,0,0,0
"6462 BARRETTS BEND DR","HORN LAKE",3,3,0,0,0,0,0,0
"6758 HUNTERS XING","HORN LAKE",3,3,0,0,0,0,0,0
"4825 SHERRY AVE","HORN LAKE",3,2,0,0,1,0,0,0
"7439 EASTOVER DR","HORN LAKE",3,3,0,0,0,0,0,0
"3360 CARROLL DR","HORN LAKE",3,3,0,0,0,0,0,0
"6680 CAMELOT RD","HORN LAKE",3,3,0,0,0,0,0,0
"7251 INTERSTATE BLVD","HORN LAKE",3,3,0,0,0,0,0,0
"6116 TULANE RD N","HORN LAKE",3,3,0,0,0,0,0,0
"1030 GOODMAN RD W","HORN LAKE",3,3,0,0,0,0,0,0
"1502 GOODMAN RD W","HORN LAKE",3,3,0,0,0,0,0,0
"1640 SOUTHERN VILLA DR","HORN LAKE",3,3,0,0,0,0,0,0
"1800 JOY CIR","HORN LAKE",3,3,0,0,0,0,0,0
"4200 ROLLIN OAKS DR","HORN LAKE",3,3,0,0,0,0,0,0
"7160 INTERSTATE BLVD","HORN LAKE",3,2,0,0,0,1,0,0
"5771 GRAY CV","HORN LAKE",3,2,1,0,0,0,0,0
"7320 HWY 161","WALLS",3,3,0,0,0,0,0,0
"6480 HEATHER RD","HORN LAKE",3,3,0,0,0,0,0,0
"CHURCH RD W & HWY 51 N","HORN LAKE",3,1,1,0,0,1,0,0
"7044 FOXHALL DR","HORN LAKE",3,3,0,0,0,0,0,0
"6420 SOUTHBRIDGE CIR","HORN LAKE",3,3,0,0,0,0,0,0
"6310 FOREST GLEN DR","HORN LAKE",3,3,0,0,0,0,0,0
"4991 HWY 51 N","HORN LAKE",3,2,1,0,0,0,0,0
"2785 ASHBRIAR DR","HORN LAKE",3,3,0,0,0,0,0,0
"3140 NORMANDY DR","HORN LAKE",3,3,0,0,0,0,0,0
"5645 RIDGETOP DR","HORN LAKE",3,3,0,0,0,0,0,0
"1374 ARBOR LAKE DR N","HORN LAKE",2,2,0,0,0,0,0,0
"5547 INGLESIDE DR","HORN LAKE",2,2,0,0,0,0,0,0
"6795 BELLE MEADE RD","HORN LAKE",2,2,0,0,0,0,0,0
"GOODMAN RD W & ALLEN DR","HORN LAKE",2,1,0,0,0,0,1,0
"5727 CHOCTAW DR","HORN LAKE",2,2,0,0,0,0,0,0
"4912 SUNSET HARBOR CV","HORN LAKE",2,2,0,0,0,0,0,0
"7860 HOLLY RIDGE DR","HORN LAKE",2,2,0,0,0,0,0,0
"3135 MAYFAIR DR","HORN LAKE",2,2,0,0,0,0,0,0
"7334 MALLARD CREEK DR","HORN LAKE",2,2,0,0,0,0,0,0
"2705 MEADOWBROOK DR","HORN LAKE",2,2,0,0,0,0,0,0
"6430 TULANE RD N","HORN LAKE",2,2,0,0,0,0,0,0
"5840 LAURIE DR","HORN LAKE",2,2,0,0,0,0,0,0
"INTERSTATE BLVD & GOODMAN RD W","HORN LAKE",2,1,1,0,0,0,0,0
"7614 WOODSHIRE DR","HORN LAKE",2,2,0,0,0,0,0,0
"2235 SCENIC VIEW DR","HERNANDO",2,2,0,0,0,0,0,0
"1655 LANTERN LN","HORN LAKE",2,1,0,0,0,1,0,0
"1620 SOUTHERN VILLA DR","HORN LAKE",2,2,0,0,0,0,0,0
"5925 TUCKER LNDG","HORN LAKE",2,2,0,0,0,0,0,0
"4760 APPLE CREEK DR","HORN LAKE",2,2,0,0,0,0,0,0
"2625 VALLEYBROOK RD","HORN LAKE",2,2,0,0,0,0,0,0
"2906 GOODMAN RD W","HORN LAKE",2,1,0,1,0,0,0,0
"5304 LAKEVIEW CV","HORN LAKE",2,1,1,0,0,0,0,0
"6870 E CENTER ST","HORN LAKE",2,1,1,0,0,0,0,0
"1844 THOMAS ST","HORN LAKE",2,1,1,0,0,0,0,0
"1805 GREENO RD","HORN LAKE",2,1,1,0,0,0,0,0
"3415 EDENSHIRE DR","HORN LAKE",2,2,0,0,0,0,0,0
"CHURCH RD W & RIDGETOP DR","HORN LAKE",2,2,0,0,0,0,0,0
"6585 HORN LAKE RD N","HORN LAKE",2,2,0,0,0,0,0,0
"7542 WOODSHIRE DR","HORN LAKE",2,2,0,0,0,0,0,0
"4121 PENWELL DR","HORN LAKE",2,2,0,0,0,0,0,0
"HWY 51 N & GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"5836 CHEROKEE DR","HORN LAKE",2,2,0,0,0,0,0,0
"1525 SOUTHERN VILLA DR","HORN LAKE",2,2,0,0,0,0,0,0
"2770 MEADOWBROOK DR","HORN LAKE",2,2,0,0,0,0,0,0
"6208 JOY BLVD S","HORN LAKE",2,2,0,0,0,0,0,0
"761 GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"5980 RICHARD PLACE DR","HORN LAKE",2,2,0,0,0,0,0,0
"3660 CARROLL DR","HORN LAKE",2,2,0,0,0,0,0,0
"3850 GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"6345 KENSINGTON RD","HORN LAKE",2,2,0,0,0,0,0,0
"6430 WALNUT GROVE RD","HORN LAKE",2,2,0,0,0,0,0,0
"3780 SHADOW OAKS PKWY","HORN LAKE",2,1,0,1,0,0,0,0
"7177 BURLINGTON BLVD","HORN LAKE",2,1,0,1,0,0,0,0
"6460 BENTLEY CV","HORN LAKE",2,2,0,0,0,0,0,0
"2344 GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"3405 GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"1498 AUDREY LN","HORN LAKE",2,2,0,0,0,0,0,0
"6175 FOREST GATE RD","HORN LAKE",2,2,0,0,0,0,0,0
"3370 CARROLL DR","HORN LAKE",2,2,0,0,0,0,0,0
"6410 CORNWALL RD","HORN LAKE",2,2,0,0,0,0,0,0
"7378 MEADOWBROOK DR","HORN LAKE",2,2,0,0,0,0,0,0
"2060 SHANNON CV","HORN LAKE",2,2,0,0,0,0,0,0
"735 GOODMAN RD W","HORN LAKE",2,2,0,0,0,0,0,0
"4149 PENWELL DR","HORN LAKE",2,2,0,0,0,0,0,0
